symptoms,disease,description,medicines
"Lump in breast or armpit, Change in breast size or shape, Nipple changes (inversion, discharge), Skin changes (redness, dimpling), Breast pain, Swollen lymph nodes	",Breast Cancer	,Cancer that forms in the tissues of the breast,"Chemotherapy, Hormonal therapy (Tamoxifen, Aromatase inhibitors), Targeted therapy (Herceptin), Radiation therapy"
"Persistent cough, Chest pain, Hoarseness, Shortness of breath, Coughing up blood, Fatigue, Unintended weight loss, Recurrent respiratory infections	",Lung Cancer	,Cancer that begins in the lungs,"Chemotherapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (EGFR inhibitors), Radiation therapy, Surgery"
"Urinary problems (frequent urination, weak urine stream), Blood in urine or semen, Erectile dysfunction, Pain or stiffness in pelvis, Bone pain	",Prostate Cancer,Cancer that occurs in the prostate gland,"Active surveillance (for low-risk cases), Surgery (Prostatectomy), Radiation therapy, Hormonal therapy (Androgen deprivation therapy)"
"Change in bowel habits (diarrhea or constipation), Blood in stool, Abdominal discomfort or pain, Fatigue, Unintended weight loss, Anemia	",Colorectal Cancer	,Cancer that starts in the colon or rectum,"Surgery (Colectomy, Proctectomy), Chemotherapy, Targeted therapy (EGFR inhibitors), Immunotherapy (Checkpoint inhibitors), Radiation therapy"
"Change in size, shape, or color of a mole, New mole or growth on skin, Itching or pain in a mole, Sores that don't heal, Spread of pigment from border of a mole	",Skin Cancer (Melanoma)	,Cancer that develops in the melanocytes (pigment-producing cells),"Surgery (Wide local excision), Immunotherapy (Checkpoint inhibitors), Targeted therapy (BRAF inhibitors), Radiation therapy"
"Fatigue, Weakness, Pale skin, Frequent infections, Fever, Easy bleeding or bruising, Enlarged lymph nodes or spleen, Bone pain	",Leukemia	,Cancer of the blood-forming tissues,"Chemotherapy, Targeted therapy (Tyrosine kinase inhibitors), Immunotherapy (Monoclonal antibodies), Stem cell transplant"
"Swollen lymph nodes (usually painless), Fatigue, Fever, Night sweats, Unintended weight loss, Itchy skin, Respiratory symptoms	",Lymphoma,Cancer of the lymphatic system,"Chemotherapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (Monoclonal antibodies), Radiation therapy"
"Abdominal bloating or swelling, Pelvic pain or pressure, Difficulty eating or feeling full quickly, Urinary urgency or frequency, Fatigue, Back pain	",Ovarian Cancer	,Cancer that begins in the ovaries,"Surgery (Hysterectomy), Chemotherapy, Targeted therapy (PARP inhibitors), Immunotherapy (Checkpoint inhibitors)"
"Abdominal pain or discomfort, Jaundice (yellowing of skin and eyes), Unintended weight loss, Loss of appetite, Nausea, Fatigue, New-onset diabetes	",Pancreatic Cancer	,Cancer that starts in the pancreas,"Surgery (Pancreatectomy), Chemotherapy, Targeted therapy (EGFR inhibitors), Immunotherapy (Checkpoint inhibitors), Radiation therapy"
"Headaches, Seizures, Nausea and vomiting, Cognitive changes (memory loss, difficulty concentrating), Weakness or paralysis, Vision or speech problems	",Brain Cancer (Glioblastoma)	,Cancer that occurs in the brain,"Surgery (Tumor resection), Chemotherapy, Radiation therapy, Tumor-treating fields therapy (Optune)"
"Blood in urine, Painful or frequent urination, Back or pelvic pain, Urinary urgency, Unintended weight loss, Fatigue, Bone pain	",Bladder Cancer	,Cancer that begins in the bladder,"Surgery (Transurethral resection, Cystectomy), Immunotherapy (Checkpoint inhibitors), Chemotherapy, Radiation therapy"
"Jaundice, Abdominal pain or swelling, Unintended weight loss, Loss of appetite, Fatigue, Weakness, Nausea and vomiting, White chalky stools	",Liver Cancer	,Cancer that starts in the liver,"Surgery (Hepatectomy), Liver transplant, Ablation therapy, Embolization, Chemotherapy, Targeted therapy (Sorafenib)"
"Difficulty swallowing (dysphagia), Pain or discomfort in chest or throat, Unintended weight loss, Chronic cough, Hoarseness, Heartburn	",Esophageal Cancer	,Cancer that forms in the esophagus,"Surgery (Esophagectomy), Chemotherapy, Radiation therapy, Immunotherapy (Checkpoint inhibitors), Targeted therapy (EGFR inhibitors)"
"Chest pain (angina), Shortness of breath, Fatigue, Weakness, Dizziness, Nausea",Coronary Artery Disease (CAD),"Narrowing or blockage of coronary arteries, leading to reduced blood flow to the heart muscle","Aspirin, Statins, Beta-blockers, ACE inhibitors, Calcium channel blockers"
"Chest pain or discomfort (often radiating to arm, jaw, back, or neck), Shortness of breath, Nausea, Vomiting, Sweating",Myocardial Infarction (Heart Attack),Death of heart muscle tissue due to blocked blood flow to the heart,"Aspirin, Thrombolytics, Beta-blockers, ACE inhibitors, Statins"
"Shortness of breath (especially during physical exertion or when lying flat), Fatigue, Swelling (edema) in legs, ankles, or abdomen, Rapid or irregular heartbeat",Heart Failure,Inability of the heart to pump blood effectively,"Diuretics, ACE inhibitors, Beta-blockers, Aldosterone antagonists, Angiotensin receptor blockers"
"Headaches, Shortness of breath, Nosebleeds, Flushing, Dizziness, Chest pain (in severe cases)",Hypertension (High Blood Pressure),Persistent elevation of blood pressure above normal levels,"Diuretics, ACE inhibitors, Angiotensin II receptor blockers, Calcium channel blockers, Beta-blockers"
"Palpitations (fluttering or pounding sensation in chest), Chest discomfort, Shortness of breath, Dizziness, Fainting (syncope)",Arrhythmia,Irregular heart rhythm or heartbeat,"Antiarrhythmic medications, Beta-blockers, Calcium channel blockers, Anticoagulants"
"Painful cramping in hip, thigh, or calf muscles after physical activity (claudication), Numbness or weakness in affected limb, Coldness in lower leg or foot",Peripheral Artery Disease (PAD),Narrowing or blockage of arteries supplying blood to extremities,"Antiplatelet agents (e.g., Aspirin), Statins, Medications to control blood pressure"
"Chest pain (angina), Shortness of breath, Weakness, Fatigue, Numbness or weakness in limbs, Confusion, Vision problems",Atherosclerosis,Buildup of plaque (fatty deposits) in arteries,"Statins, Antiplatelet agents (e.g., Aspirin), Beta-blockers, ACE inhibitors, Calcium channel blockers"
"Shortness of breath, Fatigue, Swelling in legs, ankles, or abdomen, Irregular heartbeats, Dizziness or lightheadedness, Chest pain or pressure",Cardiomyopathy,"Disease of the heart muscle, leading to weakened heart function","ACE inhibitors, Beta-blockers, Diuretics, Anticoagulants, Antiarrhythmic medications"
"Irregular heartbeats (palpitations), Rapid heartbeat (tachycardia), Weakness, Fatigue, Shortness of breath, Chest pain or discomfort",Atrial Fibrillation,Irregular and often rapid heartbeat originating in the atria,"Anticoagulants, Rate control medications (Beta-blockers, Calcium channel blockers), Rhythm control medications (Amiodarone, Flecainide)"
"Shortness of breath, Fatigue, Irregular heartbeat, Swelling in legs or abdomen, Chest pain or pressure, Dizziness or fainting episodes",Valvular Heart Disease,"Dysfunction or damage to heart valves, affecting blood flow","Diuretics, ACE inhibitors, Beta-blockers, Anticoagulants, Heart valve repair or replacement surgery"
"Fever, Chills, Fatigue, Weakness, Shortness of breath, Chest pain, Palpitations, Small red or purple spots on skin (petechiae)",Endocarditis,Inflammation of the inner lining of the heart chambers and valves,"Antibiotics, Anticoagulants, Surgery (in severe cases)"
"Chest pain (sharp, stabbing, or dull), Shortness of breath, Cough, Fever, Fatigue, Swelling in abdomen or legs, Irregular heartbeat",Pericarditis,Inflammation of the pericardium (the sac surrounding the heart),"Nonsteroidal anti-inflammatory drugs (NSAIDs), Colchicine, Corticosteroids"
"Cyanosis (bluish tint to skin, lips, or nails), Shortness of breath, Poor feeding or growth (in infants), Fatigue, Swelling in extremities",Congenital Heart Disease	,Structural heart defects present at birth,"Surgical repair, Medications to control symptoms (e.g., Diuretics, ACE inhibitors)"
"Fatigue, Chest pain, Shortness of breath, Palpitations, Swollen or tender joints, Fever, Skin rash",Rheumatic Heart Disease,"Heart damage caused by rheumatic fever, resulting from untreated strep throat","Antibiotics (to treat strep throat), Anti-inflammatory medications, Surgery (in severe cases)"
"Persistent cough with thick sputum, Wheezing, Shortness of breath, Recurrent lung infections (pneumonia), Poor growth or weight gain	",Cystic Fibrosis	,"Genetic disorder causing thick, sticky mucus buildup in lungs and other organs	","Airway clearance techniques (Chest physiotherapy, Percussion and vibration), Bronchodilators, Inhaled antibiotics, Mucolytics, Enzyme supplements"
"Involuntary jerking or writhing movements (chorea), Muscle problems (rigidity, slow movements), Cognitive decline, Behavioral changes, Difficulty swallowing	",Huntington's Disease	,Inherited disorder causing progressive degeneration of nerve cells in the brain	,"Tetrabenazine, Antipsychotics (for behavioral symptoms), Antidepressants"
"Intellectual disability, Low muscle tone (hypotonia), Upward slanting eyes with small folds of skin at inner corners (epicanthal folds), Flat facial profile	",Down Syndrome	,Genetic disorder causing developmental and intellectual delays	,"Early intervention programs, Educational support, Speech therapy, Occupational therapy"
"Progressive muscle weakness, Difficulty walking, Frequent falls, Gait abnormalities, Enlarged calves, Muscle contractures, Heart problems, Breathing difficulties	",Duchenne Muscular Dystrophy	,Progressive muscle-wasting disease caused by genetic mutation	,"Corticosteroids (Prednisone, Deflazacort), Physical therapy, Mobility aids, Respiratory support"
"Excessive bleeding from minor injuries or surgery, Easy bruising, Joint pain or swelling (hemarthrosis), Blood in urine or stool, Nosebleeds	",Hemophilia,Genetic disorder impairing blood clotting ability	,"Clotting factor replacement therapy, Desmopressin (DDAVP), Antifibrinolytic medications"
"Pain crises (sudden and severe pain), Anemia, Fatigue, Jaundice, Swelling of hands and feet (dactylitis), Frequent infections, Delayed growth and development	",Sickle Cell Disease	,Genetic disorder causing abnormal hemoglobin production and red blood cell shape	,"Pain management (analgesics, opioids), Hydroxyurea, Blood transfusions, Antibiotics"
"Developmental delay, Loss of motor skills, Seizures, Blindness, Deafness, Difficulty swallowing, Progressive intellectual disability	",Tay-Sachs Disease	,Genetic disorder leading to progressive destruction of nerve cells in the brain	,"Supportive care (Symptom management), Physical therapy, Occupational therapy"
"Kidney problems (renal Fanconi syndrome), Growth failure, Muscle weakness, Photophobia (sensitivity to light), Poor appetite, Vomiting, Delayed puberty	",Cystinosis,Genetic disorder causing accumulation of cystine in cells and tissues	,"Cysteamine (to reduce cystine levels), Supportive care (fluid and electrolyte replacement)"
"Intellectual disability, Developmental delays, Behavioral problems, Hyperactivity, Seizures, Skin rashes, Musty odor in urine, Eczema	",Phenylketonuria (PKU)	,Inherited disorder causing inability to metabolize phenylalanine	,"Low-protein diet (restricted phenylalanine intake), Phenylalanine-free formula, Medications to manage symptoms and complications"
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",Dengue Fever,Arboviral infection transmitted by mosquitoes,"Paracetamol, IV fluids"
"Persistent cough, chest pain, coughing up blood, fatigue, weight loss",Tuberculosis (TB),Infectious bacterial disease primarily affecting the lungs,"Rifampin, Isoniazid, Pyrazinamide, Ethambutol"
"Severe diarrhea, vomiting, dehydration, muscle cramps",Cholera,Bacterial infection causing severe diarrhea and dehydration,"Doxycycline, Azithromycin, Ciprofloxacin"
"Fever, chills, sweating, headache, nausea, vomiting",Malaria,Parasitic infection transmitted by mosquitoes,"Chloroquine, Artemisinin-based combination therapy (ACT), Mefloquine"
"High fever, stomach pain, weakness, headache, rash",Typhoid Fever,Bacterial infection caused by Salmonella typhi,"Ciprofloxacin, Azithromycin, Ceftriaxone"
"Jaundice (yellowing of the skin and eyes), fatigue, abdominal pain, nausea, joint pain",Hepatitis B,Viral infection affecting the liver,"Tenofovir, Entecavir, Interferon"
"High fever, headache, muscle aches, vomiting, jaundice",Leptospirosis,Bacterial infection caused by Leptospira species,"Doxycycline, Penicillin, Ceftriaxone"
"Fever, headache, nausea, confusion, hallucinations, paralysis",Rabies,Viral infection transmitted by animal bites,"Rabies vaccine, Rabies immune globulin (RIG)"
"Fever, cough, sore throat, runny or stuffy nose, body aches",Influenza,Viral respiratory infection,"Oseltamivir (Tamiflu), Zanamivir (Relenza)"
"Fever, fatigue, swollen lymph nodes, sore throat, rash, weight loss, night sweats",HIV/AIDS,Chronic viral infection affecting the immune system,Antiretroviral therapy (ART)
"Fever, cough, runny nose, sore throat, inflamed eyes, rash",Measles,Highly contagious viral infection,Vitamin A supplementation
"Cough with phlegm, fever, chills, shortness of breath, chest pain, fatigue",Pneumonia,Infection causing inflammation of the air sacs in one or both lungs,"Amoxicillin, Azithromycin, Ceftriaxone"
"Fever, joint pain, headache, muscle pain, rash",Chikungunya,Arboviral infection transmitted by mosquitoes,"Paracetamol, Fluids for hydration"
"Fever, chills, cough, chest discomfort, nausea, vomiting, abdominal pain",Plague,Bacterial infection caused by Yersinia pestis,"Ciprofloxacin, Doxycycline"
"Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain",Zika Virus,Arboviral infection transmitted by mosquitoes,Supportive care
"Severe diarrhea, vomiting, fever, abdominal pain",Rotavirus Infection,Common viral cause of severe diarrhea in children,"Oral rehydration solution (ORS), Rotavirus vaccine"
"Nausea, vomiting, diarrhea, stomach pain, fever, headache",Norovirus Infection,Highly contagious viral gastroenteritis,"Supportive care, Fluids for hydration"
"Fever, sore throat, rash on hands, feet, and mouth, loss of appetite",Hand Foot and Mouth Disease,Viral infection common in children,"Supportive care, Pain relievers"
"Sudden severe headache, Nausea, Vomiting, Stiff neck, Sensitivity to light, Confusion, Seizures",Meningitis,Inflammation of the membranes covering the brain and spinal cord,"Antibiotics (for bacterial), Antivirals (for viral), Corticosteroids"
"Frequent urination, Excessive thirst, Unexplained weight loss, Fatigue, Blurred vision, Slow-healing sores",Type 2 Diabetes,Chronic metabolic disorder characterized by high blood sugar,"Metformin, Sulfonylureas, Insulin, Lifestyle modification"
"Shortness of breath, Wheezing, Chest tightness, Coughing (especially at night)",Asthma,Chronic inflammatory disease of the airways,"Inhaled corticosteroids, Beta-agonists, Leukotriene modifiers"
"Chronic cough, Shortness of breath, Sputum production, Wheezing, Chest tightness",Chronic Obstructive Pulmonary Disease (COPD),Progressive lung disease causing airflow blockage,"Bronchodilators, Inhaled steroids, Oxygen therapy"
"Fever, Sore throat, Swollen lymph nodes, Fatigue, Rash",Mononucleosis,Infectious disease caused by Epstein-Barr virus,"Supportive care, Rest, Hydration"
"Abdominal pain, Nausea, Vomiting, Loss of appetite, Jaundice, Dark urine, Pale stools",Hepatitis A,Acute viral infection of the liver,"Supportive care, Rest, Hydration"
"Painful urination, Increased frequency, Cloudy urine, Pelvic pain",Urinary Tract Infection (UTI),Infection in any part of the urinary system,"Antibiotics, Pain relievers, Increased fluid intake"
"Sudden weakness or numbness on one side of the body, Trouble speaking, Vision problems, Dizziness, Loss of balance",Stroke,Interruption of blood supply to the brain,"Thrombolytics, Antiplatelet drugs, Rehabilitation"
"Persistent sadness, Loss of interest, Fatigue, Changes in appetite, Sleep disturbances, Difficulty concentrating",Major Depressive Disorder,Mood disorder causing persistent feelings of sadness and loss of interest,"Antidepressants, Psychotherapy, Lifestyle changes"
"Tremor, Slowed movement, Muscle stiffness, Impaired posture, Balance problems",Parkinson's Disease,Progressive nervous system disorder affecting movement,"Levodopa, Dopamine agonists, MAO-B inhibitors"
"Memory loss, Confusion, Difficulty completing familiar tasks, Trouble understanding visual images, Misplacing things",Alzheimer's Disease,Progressive neurodegenerative disorder causing memory loss and cognitive decline,"Cholinesterase inhibitors, Memantine, Supportive care"
"Fever, Red rash starting on face and spreading, Runny nose, Cough, Koplik spots in mouth",Measles,Highly contagious viral infection,"Vitamin A, Supportive care"
"Fever, Swollen parotid glands, Headache, Muscle aches, Fatigue, Loss of appetite",Mumps,Viral infection affecting the salivary glands,"Supportive care, Pain relievers"
"Fever, Sore throat, Rash, Swollen glands, Headache, Fatigue",Rubella (German Measles),Viral infection causing rash and fever,"Supportive care, Rest"
"Fever, Sore throat, Painful swallowing, Red and swollen tonsils, White patches on tonsils",Strep Throat,Bacterial infection of the throat and tonsils,"Penicillin, Amoxicillin, Pain relievers"
"Fever, Chills, Productive cough with rusty sputum, Chest pain, Shortness of breath",Pneumococcal Pneumonia,Bacterial lung infection caused by Streptococcus pneumoniae,"Penicillin, Macrolides, Fluoroquinolones"
"Fever, Abdominal pain, Diarrhea (sometimes bloody), Nausea, Vomiting",Salmonellosis,Bacterial infection caused by Salmonella species,"Fluids, Supportive care, Antibiotics (in severe cases)"
"Fever, Sore throat, Swollen lymph nodes, Fatigue, Rash",Cytomegalovirus (CMV) Infection,Common viral infection that can affect multiple organs,"Antivirals (Ganciclovir, Valganciclovir), Supportive care"
"Fever, Muscle pain, Headache, Red eyes, Rash, Joint pain",Zika Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, Severe muscle pain, Red urine, Jaundice, Kidney failure",Hemolytic Uremic Syndrome (HUS),Condition caused by E. coli infection leading to kidney failure,"Supportive care, Dialysis, Blood transfusions"
"Fever, cough, shortness of breath, loss of taste or smell, fatigue",COVID-19,Respiratory viral infection caused by SARS-CoV-2,"Supportive care, Antivirals (Remdesivir), Oxygen therapy"
"Fever, headache, muscle pain, vomiting, diarrhea, bleeding",Ebola Virus Disease,Severe viral hemorrhagic fever,"Supportive care, IV fluids, Experimental antivirals"
"Fever, headache, joint pain, rash, conjunctivitis",West Nile Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, headache, muscle pain, back pain, vomiting, jaundice, bleeding",Yellow Fever,Acute viral hemorrhagic disease transmitted by mosquitoes,"Supportive care, Yellow fever vaccine (prevention)"
"Fever, headache, muscle pain, photophobia, neck stiffness",Tick-borne Encephalitis,Viral infection of the central nervous system transmitted by ticks,"Supportive care, Tick-borne encephalitis vaccine (prevention)"
"Fever, chills, cough, muscle aches, fatigue, pneumonia",Legionnaires' Disease,Bacterial lung infection caused by Legionella,"Antibiotics (Azithromycin, Levofloxacin)"
"Fever, chills, night sweats, weight loss, cough, chest pain",Histoplasmosis,Fungal infection caused by Histoplasma capsulatum,"Antifungals (Itraconazole, Amphotericin B)"
"Fever, cough, chest pain, hemoptysis, weight loss",Aspergillosis,Fungal infection caused by Aspergillus species,"Antifungals (Voriconazole, Amphotericin B)"
"Fever, cough, shortness of breath, skin lesions, bone pain",Coccidioidomycosis (Valley Fever),Fungal infection caused by Coccidioides species,"Antifungals (Fluconazole, Itraconazole)"
"Fever, chills, headache, muscle pain, rash, eschar at bite site",Scrub Typhus,Bacterial infection caused by Orientia tsutsugamushi,"Antibiotics (Doxycycline, Azithromycin)"
"Fever, chills, headache, muscle pain, lymphadenopathy, eschar at bite site",Rickettsialpox,Bacterial infection caused by Rickettsia akari,"Antibiotics (Doxycycline)"
"Fever, chills, headache, muscle pain, rash, renal failure",Hantavirus Pulmonary Syndrome,Viral infection transmitted by rodents,"Supportive care, Oxygen therapy"
"Fever, headache, muscle pain, vomiting, abdominal pain, jaundice",Crimean-Congo Hemorrhagic Fever,Tick-borne viral hemorrhagic fever,"Supportive care, Ribavirin (experimental)"
"Fever, headache, muscle pain, vomiting, diarrhea, conjunctivitis, rash",Lassa Fever,Acute viral hemorrhagic fever endemic in West Africa,"Supportive care, Ribavirin (early treatment)"
"Fever, headache, muscle pain, vomiting, diarrhea, bleeding, shock",Marburg Virus Disease,Severe viral hemorrhagic fever,"Supportive care, IV fluids, Experimental antivirals"
"Fever, headache, muscle pain, vomiting, diarrhea, confusion, seizures",Japanese Encephalitis,Viral brain infection transmitted by mosquitoes,"Supportive care, Japanese encephalitis vaccine (prevention)"
"Fever, headache, muscle pain, vomiting, diarrhea, photophobia, neck stiffness",Meningococcal Meningitis,Bacterial infection of the membranes covering the brain and spinal cord,"Antibiotics (Ceftriaxone, Penicillin), Meningococcal vaccine (prevention)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin ulcers, swollen lymph nodes",Tularemia,Bacterial infection caused by Francisella tularensis,"Antibiotics (Streptomycin, Gentamicin)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin ulcers, black eschar",Anthrax,Bacterial infection caused by Bacillus anthracis,"Antibiotics (Ciprofloxacin, Doxycycline), Anthrax vaccine (prevention)"
"Fever, headache, muscle pain, vomiting, diarrhea, lockjaw, muscle spasms",Tetanus,Bacterial infection caused by Clostridium tetani,"Tetanus immune globulin, Metronidazole, Tetanus vaccine (prevention)"
"Fever, headache, muscle pain, vomiting, diarrhea, double vision, muscle weakness",Botulism,Bacterial infection caused by Clostridium botulinum,"Antitoxin, Supportive care, Mechanical ventilation (if needed)"
"Fever, headache, muscle pain, vomiting, diarrhea, paralysis, difficulty breathing",Polio,Viral infection caused by poliovirus,"Supportive care, Polio vaccine (prevention)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, joint pain",Chikungunya Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, conjunctivitis",Mayaro Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, lymphadenopathy",O'nyong-nyong Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, photophobia",Rift Valley Fever,Viral infection transmitted by mosquitoes,"Supportive care, Ribavirin (experimental)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, jaundice",Dengue Hemorrhagic Fever,Severe form of dengue virus infection,"Supportive care, IV fluids, Blood transfusions (if needed)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, bleeding gums",Dengue Shock Syndrome,Severe form of dengue virus infection with shock,"Supportive care, IV fluids, Blood transfusions (if needed)"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, joint swelling",Ross River Virus Infection,Arboviral infection transmitted by mosquitoes,"Supportive care, Pain relievers"
"Fever, headache, muscle pain, vomiting, diarrhea, skin rash, joint pain, conjunctivitis",Zika Congenital Syndrome,Zika virus infection in pregnancy causing birth defects,"Supportive care, Pain relievers, Prenatal care"
"Muscle weakness, drooping eyelids, double vision, difficulty swallowing, shortness of breath",Myasthenia Gravis,Autoimmune disorder causing weakness in skeletal muscles,"Acetylcholinesterase inhibitors (Pyridostigmine), Immunosuppressants, Plasmapheresis, IVIG"
"Dry mouth, dry eyes, joint pain, swelling, fatigue, skin rashes",Sjögren's Syndrome,Autoimmune disorder affecting moisture-producing glands,"Artificial tears, Saliva substitutes, Immunosuppressants, Hydroxychloroquine"
"Skin thickening, Raynaud's phenomenon, joint pain, heartburn, shortness of breath",Systemic Sclerosis (Scleroderma),Autoimmune disease causing hardening and tightening of the skin and connective tissues,"Immunosuppressants, Vasodilators, Proton pump inhibitors, Physical therapy"
"Abdominal pain, diarrhea, weight loss, fever, mouth ulcers, joint pain",Behçet's Disease,Autoimmune disorder causing blood vessel inflammation throughout the body,"Corticosteroids, Immunosuppressants, Colchicine, TNF inhibitors"
"Muscle pain, weakness, skin rash, difficulty climbing stairs, swallowing problems",Dermatomyositis,Autoimmune disease causing muscle inflammation and skin rash,"Corticosteroids, Immunosuppressants, IVIG, Physical therapy"
"Fatigue, joint pain, skin rash, fever, mouth ulcers, hair loss",Mixed Connective Tissue Disease,Autoimmune disorder with features of lupus scleroderma and polymyositis,"Corticosteroids, Immunosuppressants, NSAIDs"
"Chronic cough, shortness of breath, wheezing, chest tightness, fatigue",Pulmonary Fibrosis,Progressive lung disease causing scarring of lung tissue,"Antifibrotic agents (Pirfenidone, Nintedanib), Oxygen therapy, Pulmonary rehabilitation"
"Persistent cough, blood in sputum, chest pain, weight loss, fatigue",Small Cell Lung Cancer,Aggressive form of lung cancer,"Chemotherapy, Radiation therapy, Immunotherapy"
"Abdominal pain, jaundice, weight loss, loss of appetite, back pain",Gallbladder Cancer,Rare cancer affecting the gallbladder,"Surgery, Chemotherapy, Radiation therapy"
"Abdominal pain, bloating, early satiety, weight loss, nausea",Gastric (Stomach) Cancer,Cancer that forms in the lining of the stomach,"Surgery, Chemotherapy, Targeted therapy, Radiation therapy"
"Headache, vision changes, nausea, vomiting, seizures, personality changes",Pituitary Tumor,Abnormal growth in the pituitary gland,"Surgery, Radiation therapy, Hormone therapy"
"Bone pain, fractures, fatigue, frequent infections, weight loss",Multiple Myeloma,Cancer of plasma cells in bone marrow,"Chemotherapy, Targeted therapy, Stem cell transplant, Steroids"
"Swelling in neck, hoarseness, difficulty swallowing, cough",Thyroid Cancer,Cancer of the thyroid gland,"Surgery, Radioactive iodine, Thyroid hormone therapy, Radiation therapy"
"Chest pain, shortness of breath, palpitations, fainting, fatigue",Aortic Stenosis,Narrowing of the aortic valve in the heart,"Valve replacement surgery, Medications to manage symptoms"
"Leg pain when walking, numbness, coldness in lower leg, slow-healing sores",Buerger's Disease,Inflammation and thrombosis in small and medium-sized blood vessels,"Smoking cessation, Vasodilators, Anticoagulants"
"Sudden severe headache, vision loss, confusion, nausea, vomiting",Cerebral Aneurysm,Rupture or bulging of a blood vessel in the brain,"Surgical clipping, Endovascular coiling, Blood pressure control"
